cc_num,name,lat,long
100000000000000,Ofelia Blanda,28.893450162744532,-72.32399522510866
100000000000001,Anissa Hilll,45.23151383067707,-117.8077346982309
100000000000002,Braden Bernhard,38.823685319973166,-116.93990938691827
100000000000003,Madeline Schoen,34.8446319316965,-114.74764916324884
100000000000004,Darrion Greenfelder,42.547677413649254,-114.10859844345484
100000000000005,Eliezer Pfeffer,27.811215795827344,-105.85575956193628
100000000000006,Eula Steuber,40.903683188087136,-122.63273230274824
100000000000007,Amara Flatley,31.22701395268495,-87.14000346028249
100000000000008,Melvin Renner,32.96279524593966,-102.77839489531549
100000000000009,Violet Ebert,27.55366454786476,-116.1885717592824
100000000000010,Lilla Haag,45.37991683433742,-107.3182973453853
100000000000011,Jaylan Volkman,34.7408607104845,-108.32308813879712
100000000000012,Dessie Turner,39.93546308343433,-123.17905646575092
100000000000013,Toney Kilback,35.24003124999219,-109.98874678682576
100000000000014,Nola Ryan,39.304453774706595,-95.80534705136424
100000000000015,Brandy Huels,29.766895526592823,-107.54705201838344
100000000000016,Jaida Jast,25.183020523477516,-108.27631024449306
100000000000017,Ervin Wilkinson,28.745579222517883,-125.86540232372997
100000000000018,Jody Hoppe,41.89864522957119,-78.25043334447115
100000000000019,Jude Simonis,33.19710001303803,-90.62063421867173
100000000000020,Emie Waelchi,34.06151268442895,-112.84646419685647
100000000000021,John Hammes,37.62596306328679,-98.91630565103404
100000000000022,Domenica Schumm,27.245471004276816,-99.57268568173836
100000000000023,Lucious Schowalter,44.7175985292336,-105.10780707319196
100000000000024,Yoshiko Schneider,32.120130049086995,-68.24968826681142
100000000000025,Emmalee Rau,37.304045332552235,-125.5984197206751
100000000000026,Miguel Reichel,28.318508646137808,-122.88273070600752
100000000000027,Isadore Glover,41.783318393958595,-114.65864254766272
100000000000028,Theodora Kihn,26.94131736539007,-73.43667057548402
100000000000029,Muhammad Koelpin,35.86265753112841,-67.21139432847798
100000000000030,Cecil Maggio,47.008957301373755,-109.92166723528965
100000000000031,Humberto O'Hara,44.17475665920311,-77.75931646136769
100000000000032,Vaughn Schaden,32.34896803825071,-80.17384123685287
100000000000033,Immanuel Hackett,37.22435358273894,-101.74911808111084
100000000000034,Erin Will,25.05840887728981,-108.47772563511168
100000000000035,Eddie Murray,27.742435665509163,-112.1432382369185
100000000000036,Nickolas Gusikowski,41.033153233187264,-95.994121379067
100000000000037,Miracle Bashirian,30.08550225554856,-112.49386623358812
100000000000038,Jarret Doyle,45.53973224712595,-82.64832988953248
100000000000039,Devante Torp,47.93329648972972,-84.320143792316
100000000000040,Mavis Predovic,34.11209105909676,-102.9256916925647
100000000000041,Jeanne Altenwerth,48.49950986224142,-95.98232925371995
100000000000042,Hayden Sporer,40.30870175969259,-89.3323161791885
100000000000043,Anita Yost,49.147552238487094,-97.39886155726064
100000000000044,Carolina Hermiston,42.78487467345718,-79.16843952473758
100000000000045,Lavada Runolfsson,49.572584133453674,-93.30905573703154
100000000000046,Reid Larkin,35.81848525791526,-91.68344936920472
100000000000047,Dejuan Leffler,46.5545837359023,-73.77782455549638
100000000000048,Shaniya Kunze,49.817079323880506,-79.28929664658295
100000000000049,Colin Berge,47.06593672516129,-78.66668292689226
100000000000050,Scarlett Murazik,25.609503551855905,-95.01012489026382
100000000000051,Roman Carter,34.61373392675027,-104.61784806657178
100000000000052,Sandra Considine,38.63491285112311,-81.28536886859153
100000000000053,Conner Pacocha,46.60755588079967,-70.42192062094632
100000000000054,Arthur Stanton,27.265547238099252,-101.37166228543424
100000000000055,Kendrick McGlynn,29.842625789576015,-111.87837501838106
100000000000056,Dulce Bartoletti,32.44364974035215,-72.67531080614717
100000000000057,Helena Shanahan,38.24516525917244,-88.73316654122917
100000000000058,Leonardo Murray,29.157988286582725,-100.05286217196844
100000000000059,Blaze Reichel,27.341300793147788,-112.5870299547864
100000000000060,Heloise Casper,33.32264139057519,-122.06278766486923
100000000000061,David Hamill,32.68112897934272,-115.3956487816175
100000000000062,Roselyn Howe,30.247580674136987,-112.25346263892372
100000000000063,Roderick Hegmann,38.43023166113082,-92.90965415557233
100000000000064,Jammie Swaniawski,40.49568930100787,-106.50242743793945
100000000000065,Kacey Hilpert,44.94870659058523,-125.55611327674644
100000000000066,Colton Wolff,46.72101292204444,-93.6368897828236
100000000000067,Clare Smith,43.27855883085748,-120.40786426974022
100000000000068,Taylor Abernathy,31.75853011437626,-71.76514528319937
100000000000069,Laurianne Dooley,39.644039285026054,-97.49648518277942
100000000000070,Rowan Glover,47.91502990614904,-92.42880998557254
100000000000071,Samson Green,46.153008746502465,-116.05844382730218
100000000000072,Savannah Hyatt,44.867203881476385,-73.58563130652479
100000000000073,Carroll Hettinger,41.12277071981407,-103.49828939673569
100000000000074,Westley Konopelski,28.60760669328949,-109.4794176043302
100000000000075,Neva Schuppe,38.17228323287408,-67.20011917526702
100000000000076,Magdalena Daniel,34.25745134295092,-99.37995331782788
100000000000077,Jovan Pfeffer,45.958010202765514,-100.59559964477546
100000000000078,Marjorie Ortiz,37.923069222975,-116.70569769360918
100000000000079,Kameron Mayert,46.80150871053408,-74.57717632761936
100000000000080,Tara McDermott,27.85817602419914,-71.466715244683
100000000000081,Mossie Conroy,41.209067253449355,-70.09848780688398
